id,has_availability,availability_30,availability_60,availability_90,availability_365
2013451,t,24,24,24,208
2031487,t,25,55,85,265
2044048,t,23,53,83,346
2077417,t,20,46,73,331
2971940,t,30,43,69,217
2976144,t,17,21,23,212
2991748,t,25,48,72,320
2991886,t,25,47,71,319
3014885,t,0,0,0,66
3035176,,0,0,0,0
3049916,t,12,19,35,123
3068627,f,0,0,0,0
3071032,t,30,39,42,278
2083027,t,23,53,77,325
2096695,t,26,52,76,331
2096806,t,25,38,65,315
2107649,t,18,24,37,220
2190462,t,21,21,21,174
3079995,t,0,19,31,109
3099289,t,15,27,40,196
3141397,t,1,1,1,1
3155216,t,28,58,88,88
3160913,t,27,57,87,323
3165433,t,7,12,23,248
3184943,f,0,0,0,0
3202379,t,10,21,24,248
3206477,t,0,7,29,176
3215881,t,23,38,59,321
2205675,t,0,0,0,67
2230553,t,18,19,20,192
2258518,t,28,55,82,334
2296329,t,6,19,27,269
2297238,t,11,16,33,281
2302948,t,0,0,0,0
3269362,t,0,0,0,266
3271454,t,18,48,78,308
3280119,t,0,0,0,0
3303864,t,5,7,15,172
3333098,t,22,35,42,263
3353652,t,19,37,55,321
3365178,t,0,3,29,222
3414002,t,18,27,35,249
3426424,t,27,57,87,360
2330171,t,6,21,47,319
2364929,t,7,33,63,145
2389777,t,26,40,51,302
2428363,t,17,35,53,311
3427461,t,6,19,27,251
3463831,t,10,14,23,223
3464992,t,8,25,47,303
3468335,t,4,7,10,181
3472761,t,16,19,42,250
3476384,t,0,0,0,0
3533135,t,18,48,78,286
3533490,t,0,0,0,0
2440250,t,11,20,29,274
2440339,t,12,22,27,238
2483361,t,0,0,0,0
3536258,t,2,5,10,226
3540755,t,16,39,67,276
3540828,t,0,0,0,0
3547240,t,18,30,37,243
3551120,t,11,20,41,299
3555572,t,10,14,15,192
3562813,t,0,0,0,0
3566812,,0,0,0,0
3572677,t,28,46,72,254
2483771,t,0,0,0,0
2488617,t,1,1,1,1
2492899,t,18,28,31,128
2525651,t,1,1,1,156
2558177,t,5,8,14,217
2569042,t,0,0,0,129
2634829,t,29,59,89,347
3577506,t,15,18,19,228
3633819,t,0,0,0,0
3634070,t,0,0,0,0
3640693,t,6,6,9,137
3660051,t,11,16,26,78
3673910,t,24,35,45,88
3693504,t,29,49,49,49
3694971,t,2,9,10,205
3723364,t,10,17,23,216
2641067,t,11,21,30,98
2643760,t,4,13,18,241
2652502,t,3,5,14,239
3728270,,0,0,0,0
3730996,t,12,34,59,237
3790726,t,6,9,16,171
3802603,t,0,0,0,0
3841477,t,0,0,0,59
3855420,t,25,34,58,258
3858091,t,0,6,36,153
